game_date,home_team,away_team,actual_home,actual_away,pred_home,pred_away,home_error,away_error,total_error,winner_correct,h_efg_pct,h_2p_pct,h_3p_pct,h_3p_rate,h_ft_rate,h_oreb_pct,h_tov_pct,h_off_eff,a_efg_pct,a_2p_pct,a_3p_pct,a_3p_rate,a_ft_rate,a_oreb_pct,a_tov_pct,a_off_eff
2026-01-09,UVSU,SUU,89,72,89.1,72.1,0.1,0.1,0.2,correct,59.8,59.2,41.2,25.8,24.2,45.7,20.8,123.5,50.8,37.8,47.8,38.3,31.7,25.6,19.3,99.5
2026-01-18,SIU,BELM,68,73,68.2,72.4,0.2,0.6,0.8,correct,44.0,36.4,36.0,43.1,34.5,26.3,17.4,98.8,46.0,56.8,20.0,40.3,37.1,32.5,13.2,107.2
2026-01-14,SH,CONN,64,69,64.5,69.4,0.5,0.4,0.9,correct,42.2,54.8,6.3,27.6,43.1,48.8,22.2,101.6,54.1,68.8,17.6,34.7,53.1,43.3,26.4,107.1
2026-01-22,GCU,SDSU,70,69,70.3,69.6,0.3,0.6,0.9,correct,48.0,31.0,47.6,42.0,56.0,25.7,24.2,99.5,42.7,50.0,16.7,29.0,30.6,28.9,14.4,99.5
2026-01-08,TEM,ECU,75,67,74.5,66.6,0.5,0.4,0.9,correct,49.1,38.7,41.7,43.6,47.3,31.4,15.3,114.6,52.9,54.8,30.0,19.2,40.4,34.5,19.0,105.9
2026-01-17,TXST,USM,74,67,73.4,66.6,0.6,0.4,1.0,correct,54.8,48.3,46.2,31.0,83.3,24.0,25.9,106.6,45.2,51.4,20.0,28.8,46.2,15.6,19.6,93.6
2026-01-10,MARQ,NOVA,73,76,72.3,76.3,0.7,0.3,1.0,correct,53.5,53.8,35.5,54.4,26.3,33.3,14.4,116.6,61.6,77.4,28.0,44.6,12.5,26.1,15.9,120.5
2026-01-15,SC,PAC,85,69,84.9,68.1,0.1,0.9,1.0,correct,56.7,57.6,37.0,45.0,31.7,28.1,10.5,128.1,61.5,50.0,50.0,45.8,27.1,42.3,33.0,108.3
2026-01-23,SIUE,TNST,74,66,74.1,67.1,0.1,1.1,1.2,correct,59.4,58.1,41.2,35.4,52.1,34.5,21.0,119.4,35.8,40.0,18.2,32.8,32.8,45.7,11.2,105.3
2026-01-11,IOWA,ILL,69,75,69.0,73.8,0.0,1.2,1.2,correct,47.7,48.6,31.0,43.9,9.1,25.6,12.0,103.5,57.9,62.1,35.7,49.1,19.3,30.0,18.5,115.7
2026-01-10,TCU,ARIZ,73,86,72.0,86.3,1.0,0.3,1.3,correct,47.5,50.0,28.6,35.6,40.7,22.2,16.3,99.2,56.0,52.9,43.8,23.9,22.4,29.4,13.6,116.8
2026-01-17,MRSH,JMU,77,72,78.0,71.7,1.0,0.3,1.3,correct,45.8,46.2,30.0,33.9,47.5,46.2,19.6,116.1,48.4,39.4,39.3,45.9,32.8,35.7,20.3,104.7
2026-01-15,TTU,UTAH,88,74,88.3,73.0,0.3,1.0,1.3,correct,60.7,59.0,41.9,44.3,7.1,37.1,15.7,125.4,53.4,40.6,46.2,44.8,29.3,17.6,17.9,102.1
2026-01-17,MVSU,COOK,63,79,63.2,80.1,0.2,1.1,1.3,correct,43.0,40.0,31.8,38.6,40.4,13.8,8.7,91.1,69.8,60.7,55.0,41.7,39.6,38.1,22.5,126.7
2026-01-31,M-OH,NIU,85,61,85.5,61.9,0.5,0.9,1.4,correct,53.9,66.7,25.0,43.8,31.3,28.6,12.5,118.4,47.3,54.8,25.0,43.6,30.9,17.1,23.1,83.0
2026-01-04,MTST,NAU,77,68,76.8,69.2,0.2,1.2,1.4,correct,57.1,56.0,38.7,55.4,25.0,33.3,13.3,128.0,51.7,48.9,41.7,20.3,18.6,25.9,12.3,104.9
2026-01-27,BYU,ARIZ,83,86,81.6,86.0,1.4,0.0,1.4,correct,49.3,42.1,38.2,47.2,26.4,33.3,15.7,108.7,56.6,58.5,33.3,22.6,60.4,25.0,17.8,117.7
2026-01-24,GT,CLEM,63,77,64.4,77.1,1.4,0.1,1.5,correct,44.7,33.3,42.9,36.8,29.8,24.3,14.0,97.7,54.9,51.5,39.3,45.9,21.3,28.1,14.8,113.7
2026-01-19,VCU,SJPA,79,72,78.9,70.6,0.1,1.4,1.5,correct,51.6,48.5,36.7,47.6,31.7,27.5,14.1,111.6,54.5,48.6,44.4,32.7,34.5,25.0,24.5,98.1
2026-01-16,VRMT,MNE,67,62,65.6,62.1,1.4,0.1,1.5,correct,55.9,58.1,35.0,39.2,27.5,14.3,13.1,109.5,41.5,41.9,27.3,41.5,47.2,13.2,3.3,101.6
2026-01-24,LOU,VT,85,71,85.0,69.4,0.0,1.6,1.6,correct,56.8,54.5,39.4,50.0,19.7,40.5,20.9,118.5,53.2,28.1,53.3,48.4,12.9,23.7,18.7,102.1
2026-01-03,CMU,TOL,75,78,76.5,77.9,1.5,0.1,1.6,correct,55.0,51.2,42.1,31.7,20.0,12.5,12.8,106.7,43.3,41.7,33.3,20.0,53.3,35.1,10.3,114.6
2026-01-21,KSU,UTAH,81,78,81.3,79.4,0.3,1.4,1.7,correct,59.7,48.7,52.2,37.1,16.1,22.6,14.4,116.7,55.4,57.1,34.8,35.4,15.4,31.3,13.2,114.0
2026-01-16,PRST,UNCO,76,73,74.7,72.6,1.3,0.4,1.7,correct,52.8,59.5,25.0,30.2,52.8,36.7,23.8,106.6,56.6,54.5,38.7,58.5,35.8,12.9,19.6,102.3
2026-01-10,EKY,UCA,79,75,77.4,75.1,1.6,0.1,1.7,correct,58.6,47.4,42.2,70.3,10.9,27.8,18.6,112.7,50.8,56.7,30.3,52.4,23.8,32.4,18.4,106.2
