game_id,game_date,season,team,opponent,home_away,score,opponent_score,win,field_goals_made,field_goals_attempted,three_pointers_made,three_pointers_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,points_off_turnovers,fast_break_points,points_in_paint,largest_lead,lead_changes,time_leading_pct,spread,spread_covered,total_line,went_over
f3766922-7aa3-4016-baeb-ea55b6d9f897,2026-01-02,2025-26,NMSU,FIU,away,74,89,false,28,57,10,28,8,12,6,20,15,8,4,15,22,15,14,30,2,4,8.0,-1.5,false,153.5,true
f3766922-7aa3-4016-baeb-ea55b6d9f897,2026-01-02,2025-26,FIU,NMSU,home,89,74,true,31,59,8,18,19,26,14,24,19,9,3,13,16,21,17,42,26,4,86.0,1.5,true,153.5,true
7cb40d55-e573-4703-9314-a48e42f69ef4,2026-01-02,2025-26,COR,AFST,home,133,65,true,51,78,22,40,9,14,14,41,43,7,3,12,7,26,42,58,73,4,96.0,,,,
7cb40d55-e573-4703-9314-a48e42f69ef4,2026-01-02,2025-26,AFST,COR,away,65,133,false,25,77,10,35,5,5,10,14,18,8,2,15,8,14,9,22,2,4,3.0,,,,
4e8b28b3-2790-403b-8a84-7126357c9380,2026-01-02,2025-26,MACK,MTSTM,home,75,65,true,19,46,6,22,31,40,6,21,10,8,9,10,19,17,3,24,12,8,74.0,-4.5,true,135.5,true
4e8b28b3-2790-403b-8a84-7126357c9380,2026-01-02,2025-26,MTSTM,MACK,away,65,75,false,22,57,2,18,19,28,16,25,9,3,2,16,26,14,7,36,4,8,8.0,4.5,false,135.5,true
e0b93834-d9ff-45ea-9744-1273485425b1,2026-01-02,2025-26,FAIR,CANI,away,81,85,false,28,66,8,23,17,23,17,25,15,2,2,8,19,6,4,38,4,2,4.0,-4.5,false,136.5,true
e0b93834-d9ff-45ea-9744-1273485425b1,2026-01-02,2025-26,CANI,FAIR,home,85,81,true,25,57,15,28,20,27,10,25,22,5,3,6,21,7,8,20,14,2,87.0,4.5,true,136.5,true
4285d64e-e0de-426f-81d9-3bc1455d1259,2026-01-02,2025-26,SHU,NIAG,away,61,64,false,20,53,6,23,15,18,16,21,5,4,2,14,15,13,10,28,0,0,0.0,-3.5,false,143.5,false
4285d64e-e0de-426f-81d9-3bc1455d1259,2026-01-02,2025-26,NIAG,SHU,home,64,61,true,23,47,10,24,8,12,5,19,11,6,3,9,13,13,2,24,17,0,99.0,3.5,true,143.5,false
0c59e4b3-e9c1-433e-b281-cf91c1c05f4b,2026-01-02,2025-26,WKU,SHSU,home,102,91,true,34,74,14,35,20,27,22,27,17,9,4,13,13,14,6,36,14,3,33.0,-4.5,true,163.5,true
0c59e4b3-e9c1-433e-b281-cf91c1c05f4b,2026-01-02,2025-26,SHSU,WKU,away,91,102,false,34,73,10,28,13,19,17,23,17,10,2,12,20,20,12,38,14,3,64.0,4.5,false,163.5,true
0d043231-947f-4dda-b96a-1f2e341a32bb,2026-01-02,2025-26,CHSU,WAG,home,72,79,false,21,59,7,17,23,27,12,21,13,5,4,5,22,9,8,22,2,5,2.0,-1.5,false,145.5,true
0d043231-947f-4dda-b96a-1f2e341a32bb,2026-01-02,2025-26,WAG,CHSU,away,79,72,true,25,53,7,16,22,30,12,28,17,2,3,8,18,5,9,26,11,5,93.0,1.5,true,145.5,true
