id,date,start_time,away_team,home_team,sl_away_pred,sl_home_pred,gdo_away_pred,gdo_home_pred,gdo_v4_favorite,gdo_v4_confidence,away_result,home_result,moneyline_favorite_team,total_line,runline_favorite_team,runline_value,underdog_runline_odds,favorite_runline_odds,over_total_line_odds,under_total_line_odds,underdog_moneyline_odds,favorite_moneyline_odds
30000,20260102,10:00,NMSU,FIU,73,72,76,75,NMSU,59.2,74,89,NMSU,153.5,NMSU,-1.5,100,-120,-110,-110,-110,-110
30001,20260102,12:00,AFST,COR,,,,,,,65,133,,,,,,,,,,
30002,20260102,13:00,MTSTM,MACK,65,71,60,68,MACK,59.6,65,75,MACK,135.5,MACK,-4.5,-115,-105,-108,-112,150,-185
30003,20260102,14:00,FAIR,CANI,73,66,73,68,FAIR,53.9,81,85,FAIR,136.5,FAIR,-4.5,-108,-112,-110,-110,155,-190
30004,20260102,14:00,SHU,NIAG,75,71,74,70,SHU,68.4,61,64,SHU,143.5,SHU,-3.5,-118,-102,-112,-108,145,-175
30005,20260102,15:00,SHSU,WKU,78,80,74,75,WKU,59.6,91,102,WKU,163.5,WKU,-4.5,-115,-105,-108,-112,155,-190
30006,20260102,17:00,UNHV,STNH,58,68,63,63,UNHV,73.2,70,55,STNH,125.5,STNH,-3.5,-118,-102,-105,-115,130,-155
30007,20260102,17:00,RMU,DET,77,70,78,77,RMU,51.8,85,77,RMU,147.5,RMU,-1.5,-105,-115,-115,-105,110,-135
30008,20260102,17:00,LMC,SFU,78,71,74,71,LMC,54.7,84,58,LMC,156.5,LMC,-6.5,-115,-105,-112,-108,225,-278
30009,20260102,17:00,LAM,MCNS,64,78,65,76,MCNS,89.8,70,82,MCNS,141.5,MCNS,-16.5,-118,-102,-108,-112,900,-1600
30010,20260102,17:00,KSW,LIB,71,86,70,81,LIB,64.4,73,81,LIB,156.5,LIB,-8.5,-115,-105,-110,-110,300,-400
30011,20260102,17:00,JVST,DEL,69,72,71,65,JVST,71.9,67,64,JVST,131.5,JVST,-1.5,-102,-118,-108,-112,105,-125
30012,20260102,17:00,CCTST,LIU,73,72,71,72,LIU,54.0,78,84,LIU,145.5,LIU,-4.5,-110,-110,-115,-105,155,-190
30013,20260102,17:00,USC,MICH,73,89,71,86,MICH,98.0,66,96,MICH,169.5,MICH,-22.5,-118,-102,-108,-112,1500,-5000
